threshold,FAR,FRR
0.2,0.0,1.0
0.20904522613065327,0.0,1.0
0.21809045226130655,0.0,0.999482936918304
0.2271356783919598,0.0,0.999482936918304
0.2361809045226131,0.0,0.999482936918304
0.24522613065326634,0.0,0.9989658738366081
0.2542713567839196,0.0,0.9989658738366081
0.2633165829145729,0.0,0.9989658738366081
0.2723618090452261,0.0,0.9984488107549121
0.2814070351758794,0.0,0.9984488107549121
0.2904522613065327,0.0,0.9979317476732161
0.29949748743718596,0.0,0.9974146845915202
0.3085427135678392,0.0,0.9948293691830403
0.31758793969849247,0.0,0.9943123061013444
0.3266331658291457,0.0,0.9937952430196484
0.335678391959799,0.0,0.9922440537745605
0.34472361809045227,0.0,0.9896587383660806
0.35376884422110555,0.0,0.9875904860392968
0.36281407035175883,0.0,0.9865563598759048
0.37185929648241206,0.0,0.9824198552223371
0.38090452261306534,0.0,0.9793174767321613
0.38994974874371857,0.0,0.9767321613236815
0.39899497487437185,0.0,0.9736297828335057
0.40804020100502514,0.0,0.967425025853154
0.4170854271356784,0.0,0.9648397104446742
0.42613065326633165,0.0,0.9612202688728024
0.43517587939698493,0.0,0.9581178903826267
0.44422110552763816,0.0,0.9524301964839711
0.45326633165829144,0.0,0.9488107549120993
0.4623115577889447,0.0,0.9405377456049638
0.471356783919598,0.0,0.9358841778697001
0.48040201005025124,0.0,0.9255429162357808
0.4894472361809045,0.0,0.9188210961737332
0.4984924623115578,0.0,0.9084798345398138
0.507537688442211,0.0,0.8976215098241985
0.5165829145728643,0.0,0.890382626680455
0.5256281407035176,0.0,0.8769389865563598
0.5346733668341708,9.6065170611743e-06,0.8665977249224406
0.543718592964824,9.6065170611743e-06,0.8531540847983454
0.5527638190954773,9.6065170611743e-06,0.8386763185108583
0.5618090452261306,9.6065170611743e-06,0.828335056876939
0.5708542713567839,9.6065170611743e-06,0.811789038262668
0.5798994974874372,9.6065170611743e-06,0.8009307135470527
0.5889447236180905,9.6065170611743e-06,0.7843846949327818
0.5979899497487438,9.6065170611743e-06,0.7678386763185109
0.607035175879397,9.6065170611743e-06,0.7523267838676319
0.6160804020100503,9.6065170611743e-06,0.733712512926577
0.6251256281407035,9.6065170611743e-06,0.7135470527404343
0.6341708542713568,1.92130341223486e-05,0.6970010341261634
0.6432160804020101,1.92130341223486e-05,0.6783867631851086
0.6522613065326632,1.92130341223486e-05,0.6597724922440538
0.6613065326633165,1.92130341223486e-05,0.6375387797311272
0.6703517587939698,1.92130341223486e-05,0.6116856256463289
0.6793969849246231,1.92130341223486e-05,0.594105480868666
0.6884422110552764,1.92130341223486e-05,0.5723888314374354
0.6974874371859296,1.92130341223486e-05,0.5527404343329886
0.7065326633165829,1.92130341223486e-05,0.5243019648397105
0.7155778894472362,1.92130341223486e-05,0.5031023784901758
0.7246231155778895,1.92130341223486e-05,0.48035160289555323
0.7336683417085428,1.92130341223486e-05,0.46173733195449845
0.7427135678391961,2.8819551183522902e-05,0.4364012409513961
0.7517587939698491,2.8819551183522902e-05,0.40847983453981385
0.7608040201005024,2.8819551183522902e-05,0.38521199586349536
0.7698492462311557,2.8819551183522902e-05,0.3671147880041365
0.778894472361809,3.84260682446972e-05,0.34953464322647365
0.7879396984924623,3.84260682446972e-05,0.3355739400206825
0.7969849246231155,3.84260682446972e-05,0.31902792140641156
0.8060301507537688,3.84260682446972e-05,0.30610134436401243
0.8150753768844221,3.84260682446972e-05,0.2869700103412616
0.8241206030150754,3.84260682446972e-05,0.26525336091003104
0.8331658291457287,7.68521364893944e-05,0.250258531540848
0.842211055276382,8.64586535505687e-05,0.23422957600827302
0.8512562814070352,8.64586535505687e-05,0.2233712512926577
