threshold,FAR,FRR
0.2,0.12756494005533353,0.03464322647362978
0.20402010050251257,0.12258876421764525,0.03464322647362978
0.20804020100502513,0.11768944051644635,0.03464322647362978
0.2120603015075377,0.11287657546879803,0.03516028955532575
0.21608040201005027,0.10817898862588379,0.035677352637021716
0.22010050251256283,0.1036927451583154,0.03619441571871768
0.2241206030150754,0.0995427297878881,0.03619441571871768
0.22814070351758794,0.095018060252075,0.03619441571871768
0.23216080402010053,0.09146364893944052,0.03671147880041365
0.2361809045226131,0.08781317245619429,0.03671147880041365
0.24020100502512565,0.08396095911466339,0.03671147880041365
0.2442211055276382,0.08033930218260067,0.03722854188210962
0.24824120603015076,0.07710190593298494,0.03722854188210962
0.2522613065326633,0.07318244697202582,0.037745604963805586
0.2562814070351759,0.0697144943129419,0.03877973112719752
0.26030150753768844,0.06650591761450968,0.03877973112719752
0.264321608040201,0.06341261912081156,0.03981385729058945
0.26834170854271355,0.06049223793421457,0.04033092037228542
0.27236180904522617,0.057648708884106975,0.040847983453981385
0.2763819095477387,0.05472832769750999,0.040847983453981385
0.2804020100502513,0.05211535505687058,0.040847983453981385
0.28442211055276384,0.049483169382108824,0.040847983453981385
0.2884422110552764,0.04692783584383646,0.04239917269906929
0.29246231155778896,0.04486243467568398,0.042916235780765255
0.2964824120603015,0.04256647709806333,0.042916235780765255
0.3005025125628141,0.04033776513987089,0.04343329886246122
0.3045226130653267,0.03820511835229019,0.04446742502585315
0.30854271356783924,0.0361108976329542,0.04498448810754912
0.3125628140703518,0.034189594220719335,0.045501551189245086
0.31658291457286436,0.03232592991085152,0.045501551189245086
0.3206030150753769,0.030750461112818938,0.045501551189245086
0.3246231155778895,0.029203811865969875,0.04705274043433299
0.32864321608040203,0.02756109744850907,0.04705274043433299
0.3326633165829146,0.026139332923455272,0.04705274043433299
0.33668341708542715,0.024736781432523825,0.04705274043433299
0.3407035175879397,0.02327659083922533,0.047569803516028956
0.34472361809045227,0.02199892407008915,0.048086866597724924
0.3487437185929648,0.020855748539809406,0.04912099276111686
0.3527638190954774,0.01965493390716262,0.050672182006204755
0.35678391959798994,0.01845411927451583,0.050672182006204755
0.36080402010050255,0.017349369812480787,0.050672182006204755
0.3648241206030151,0.016407931140485707,0.05170630816959669
0.36884422110552767,0.015264755610205964,0.05170630816959669
0.37286432160804023,0.014342529972333231,0.05222337125129266
0.3768844221105528,0.01367007377805103,0.052740434332988625
0.38090452261306534,0.012882339379034737,0.052740434332988625
0.38492462311557796,0.011940900707039655,0.05429162357807653
0.3889447236180905,0.011287657546879803,0.05429162357807653
0.3929648241206031,0.010509529664924685,0.05532574974146846
0.39698492462311563,0.00989471257300953,0.05635987590486039
0.4010050251256282,0.009318321549339072,0.05687693898655636
0.40502512562814075,0.00864586535505687,0.05687693898655636
0.4090452261306533,0.008127113433753459,0.05894519131334023
0.41306532663316586,0.007675607131878266,0.05997931747673216
0.4170854271356784,0.007233707347064249,0.060496380558428126
0.421105527638191,0.00672456194282201,0.062564632885212
0.42512562814070354,0.006234629572702121,0.0641158221302999
0.4291457286432161,0.005754303719643406,0.0641158221302999
0.43316582914572865,0.005418075622502305,0.06514994829369183
0.4371859296482412,0.005053027974177682,0.06773526370217166
0.44120603015075377,0.0046879803258530585,0.06928645294725956
0.4452261306532663,0.004380571779895481,0.0703205791106515
0.44924623115577894,0.004140408853366123,0.0703205791106515
0.4532663316582915,0.00390985244389794,0.0718717683557394
0.45728643216080406,0.00364086996618506,0.0718717683557394
0.4613065326633166,0.0034295265908392252,0.07238883143743537
0.4653266331658292,0.0031797571472486933,0.07394002068252327
0.46934673366834173,0.002901168152474639,0.0749741468459152
0.4733668341708543,0.00274746387949585,0.07652533609100311
