tau,FAR,FRR,metric
-0.5926767587661743,1.0,0.0,cosine
-0.591106047859421,0.999482936918304,0.0,cosine
-0.5895353369526677,0.999482936918304,0.0,cosine
-0.5879646260459144,0.999482936918304,0.0,cosine
-0.5863939151391611,0.999482936918304,0.0,cosine
-0.5848232042324077,0.999482936918304,0.0,cosine
-0.5832524933256544,0.999482936918304,0.0,cosine
-0.5816817824189011,0.999482936918304,0.0,cosine
-0.5801110715121478,0.999482936918304,0.0,cosine
-0.5785403606053945,0.999482936918304,0.0,cosine
-0.5769696496986412,0.999482936918304,0.0,cosine
-0.5753989387918879,0.999482936918304,0.0,cosine
-0.5738282278851345,0.999482936918304,0.0,cosine
-0.5722575169783812,0.999482936918304,0.0,cosine
-0.5706868060716279,0.999482936918304,0.0,cosine
-0.5691160951648746,0.999482936918304,0.0,cosine
-0.5675453842581213,0.999482936918304,0.0,cosine
-0.565974673351368,0.999482936918304,0.0,cosine
-0.5644039624446148,0.999482936918304,0.0,cosine
-0.5628332515378615,0.999482936918304,0.0,cosine
-0.5612625406311081,0.999482936918304,0.0,cosine
-0.5596918297243548,0.999482936918304,0.0,cosine
-0.5581211188176015,0.999482936918304,0.0,cosine
-0.5565504079108482,0.999482936918304,0.0,cosine
-0.5549796970040949,0.999482936918304,0.0,cosine
-0.5534089860973416,0.999482936918304,0.0,cosine
-0.5518382751905883,0.999482936918304,0.0,cosine
-0.5502675642838349,0.999482936918304,0.0,cosine
-0.5486968533770816,0.999482936918304,0.0,cosine
-0.5471261424703283,0.999482936918304,0.0,cosine
-0.545555431563575,0.999482936918304,0.0,cosine
-0.5439847206568217,0.999482936918304,0.0,cosine
-0.5424140097500684,0.999482936918304,0.0,cosine
-0.5408432988433151,0.999482936918304,0.0,cosine
-0.5392725879365617,0.999482936918304,0.0,cosine
-0.5377018770298084,0.999482936918304,0.0,cosine
-0.5361311661230551,0.999482936918304,0.0,cosine
-0.5345604552163018,0.999482936918304,0.0,cosine
-0.5329897443095485,0.999482936918304,0.0,cosine
-0.5314190334027952,0.999482936918304,0.0,cosine
-0.5298483224960419,0.999482936918304,0.0,cosine
-0.5282776115892885,0.999482936918304,0.0,cosine
-0.5267069006825352,0.999482936918304,0.0,cosine
-0.5251361897757819,0.999482936918304,0.0,cosine
-0.5235654788690286,0.999482936918304,0.0,cosine
-0.5219947679622753,0.999482936918304,0.0,cosine
-0.520424057055522,0.999482936918304,0.0,cosine
-0.5188533461487687,0.999482936918304,0.0,cosine
-0.5172826352420153,0.999482936918304,0.0,cosine
-0.515711924335262,0.999482936918304,0.0,cosine
-0.5141412134285088,0.999482936918304,0.0,cosine
-0.5125705025217555,0.999482936918304,0.0,cosine
-0.5109997916150022,0.999482936918304,0.0,cosine
-0.5094290807082489,0.999482936918304,0.0,cosine
-0.5078583698014956,0.999482936918304,0.0,cosine
-0.5062876588947423,0.999482936918304,0.0,cosine
-0.5047169479879889,0.999482936918304,0.0,cosine
-0.5031462370812356,0.999482936918304,0.0,cosine
-0.5015755261744823,0.999482936918304,0.0,cosine
-0.500004815267729,0.999482936918304,0.0,cosine
-0.4984341043609757,0.999482936918304,0.0,cosine
-0.49686339345422237,0.999482936918304,0.0,cosine
-0.49529268254746905,0.999482936918304,0.0,cosine
-0.49372197164071574,0.999482936918304,0.0,cosine
-0.4921512607339624,0.999482936918304,0.0,cosine
-0.4905805498272091,0.9989658738366081,0.0,cosine
-0.4890098389204558,0.9989658738366081,0.0,cosine
-0.4874391280137025,0.9989658738366081,0.0,cosine
-0.48586841710694917,0.9989658738366081,0.0,cosine
-0.48429770620019585,0.9989658738366081,0.0,cosine
-0.48272699529344254,0.9989658738366081,0.0,cosine
-0.4811562843866892,0.9989658738366081,0.0,cosine
-0.4795855734799359,0.9989658738366081,0.0,cosine
-0.4780148625731826,0.9989658738366081,0.0,cosine
-0.4764441516664293,0.9989658738366081,0.0,cosine
-0.47487344075967597,0.9989658738366081,0.0,cosine
-0.47330272985292265,0.9989658738366081,0.0,cosine
-0.47173201894616934,0.9989658738366081,0.0,cosine
-0.470161308039416,0.9989658738366081,0.0,cosine
-0.46859059713266277,0.9989658738366081,0.0,cosine
-0.4670198862259094,0.9989658738366081,0.0,cosine
-0.4654491753191561,0.9989658738366081,0.0,cosine
-0.4638784644124028,0.9989658738366081,0.0,cosine
-0.4623077535056495,0.9989658738366081,0.0,cosine
-0.4607370425988962,0.9989658738366081,0.0,cosine
-0.4591663316921429,0.9989658738366081,0.0,cosine
-0.45759562078538957,0.9989658738366081,0.0,cosine
-0.45602490987863625,0.9989658738366081,0.0,cosine
-0.45445419897188294,0.9989658738366081,0.0,cosine
-0.4528834880651296,0.9989658738366081,0.0,cosine
-0.45131277715837637,0.9984488107549121,0.0,cosine
-0.44974206625162305,0.9984488107549121,0.0,cosine
-0.44817135534486974,0.9984488107549121,0.0,cosine
-0.4466006444381164,0.9984488107549121,0.0,cosine
-0.4450299335313631,0.9984488107549121,0.0,cosine
-0.4434592226246098,0.9984488107549121,0.0,cosine
-0.4418885117178565,0.9984488107549121,0.0,cosine
-0.44031780081110317,0.9984488107549121,0.0,cosine
-0.43874708990434985,0.9984488107549121,0.0,cosine
-0.43717637899759654,0.9984488107549121,0.0,cosine
-0.4356056680908432,0.9984488107549121,0.0,cosine
-0.4340349571840899,0.9984488107549121,0.0,cosine
-0.4324642462773366,0.9984488107549121,0.0,cosine
-0.4308935353705833,0.9984488107549121,0.0,cosine
-0.42932282446382997,0.9984488107549121,0.0,cosine
-0.42775211355707665,0.9984488107549121,0.0,cosine
-0.42618140265032334,0.9984488107549121,0.0,cosine
-0.42461069174357,0.9984488107549121,0.0,cosine
-0.4230399808368167,0.9984488107549121,0.0,cosine
-0.4214692699300634,0.9984488107549121,0.0,cosine
-0.4198985590233101,0.9984488107549121,0.0,cosine
-0.41832784811655677,0.9984488107549121,0.0,cosine
-0.41675713720980345,0.9984488107549121,0.0,cosine
-0.41518642630305014,0.9984488107549121,0.0,cosine
-0.4136157153962968,0.9984488107549121,0.0,cosine
-0.4120450044895435,0.9984488107549121,0.0,cosine
-0.41047429358279025,0.9984488107549121,0.0,cosine
-0.40890358267603694,0.9984488107549121,0.0,cosine
-0.4073328717692836,0.9984488107549121,0.0,cosine
-0.4057621608625303,0.9979317476732161,0.0,cosine
-0.404191449955777,0.9979317476732161,0.0,cosine
-0.4026207390490237,0.9979317476732161,0.0,cosine
-0.40105002814227037,0.9979317476732161,0.0,cosine
-0.39947931723551705,0.9979317476732161,0.0,cosine
-0.3979086063287638,0.9968976215098242,0.0,cosine
-0.3963378954220105,0.9968976215098242,0.0,cosine
-0.39476718451525716,0.9968976215098242,0.0,cosine
-0.39319647360850385,0.9968976215098242,0.0,cosine
-0.39162576270175053,0.9968976215098242,0.0,cosine
-0.3900550517949972,0.9968976215098242,0.0,cosine
-0.3884843408882439,0.9968976215098242,0.0,cosine
-0.3869136299814906,0.9963805584281282,0.0,cosine
-0.3853429190747373,0.9963805584281282,0.0,cosine
-0.38377220816798396,0.9963805584281282,0.0,cosine
-0.38220149726123065,0.9963805584281282,0.0,cosine
-0.38063078635447734,0.9963805584281282,0.0,cosine
-0.379060075447724,0.9963805584281282,0.0,cosine
-0.3774893645409707,0.9963805584281282,0.0,cosine
-0.3759186536342174,0.9963805584281282,0.0,cosine
-0.3743479427274641,0.9963805584281282,0.0,cosine
-0.37277723182071076,0.9963805584281282,0.0,cosine
-0.37120652091395745,0.9963805584281282,0.0,cosine
-0.36963581000720414,0.9958634953464323,0.0,cosine
-0.3680650991004508,0.9958634953464323,0.0,cosine
-0.3664943881936975,0.9958634953464323,0.0,cosine
-0.3649236772869442,0.9958634953464323,0.0,cosine
-0.3633529663801909,0.9958634953464323,0.0,cosine
-0.36178225547343756,0.9958634953464323,0.0,cosine
-0.36021154456668425,0.9953464322647363,0.0,cosine
-0.35864083365993094,0.9953464322647363,0.0,cosine
-0.3570701227531777,0.9953464322647363,0.0,cosine
-0.35549941184642436,0.9953464322647363,0.0,cosine
-0.35392870093967105,0.9953464322647363,0.0,cosine
-0.35235799003291773,0.9953464322647363,0.0,cosine
